attack_type,detector_tier,trajectory_type,attack_onset,steady_pos_rmse,post_pos_rmse,post_pos_max,post_ang_rmse,ekf_res_norm_mean,u_v_rmse,u_w_rmse,detection_accuracy,mean_confidence,detection_latency_steps,detection_latency_sec,false_alarm_rate,recovery_rmse
A3,nn,lissajous,23.299848545285126,0.05685502420238321,0.056029049921663084,0.08793939656996415,0.1841433278043055,0.029190110982393328,0.23624646495248383,0.35991772527334326,0.5427350427350427,0.9341982677947405,34.0,1.7000000000000002,0.0,0.060946114097067385
A3,oracle,lissajous,23.299848545285126,0.05685502420238321,0.05838420253787498,0.09364344353349204,0.1889873668095361,0.028427564368277005,0.23317404347289697,0.3574209502449261,1.0,1.0,0.0,0.0,1.0,0.03023679214274335
A4,none,lissajous,19.966462104925917,0.057565159736964584,0.0347224239076234,0.08023000702519095,0.10474490558200279,0.03626216805058237,0.2523738753888067,0.3991064007746017,,,,,,
A4,nn,lissajous,19.966462104925917,0.057565159736964584,0.033837092809715044,0.07262793741648019,0.12337979557013153,0.0337420047533741,0.24023126693693747,0.3712713645357481,0.9566666666666667,0.9910055005533334,2.0,0.1,0.0,0.20898845340914401
A4,oracle,lissajous,19.966462104925917,0.057565159736964584,0.05734712351225938,0.09364344353349205,0.18817759705921233,0.02813849635527261,0.23318686482598788,0.3339633945833419,1.0,1.0,0.0,0.0,1.0,0.02993923012015211
A5,none,lissajous,8.900466011060914,0.041734536830288195,1.4164953731323893,2.3923221123907896,1.80844778224143,0.34214264382640935,0.20574544575728276,1.4325803267231987,,,,,,
A5,nn,lissajous,8.900466011060914,0.041734536830288195,0.5251274959403336,1.5915524025927028,0.9739564458624093,0.09256558356267215,0.2588672504381911,0.6491399490501476,0.8829174664107485,0.9906854415774959,3.0,0.15000000000000002,0.0,4.112568342555381
A5,oracle,lissajous,8.900466011060914,0.041734536830288195,0.05947841272955667,0.0940509731649839,0.19381377713063536,0.028124821319305878,0.2306816318395175,0.35283106191460606,1.0,1.0,0.0,0.0,1.0,0.02978089612625626
A6,none,lissajous,8.899863008405067,0.04193488562066846,0.0676057965954178,0.1364400744546846,0.23373521578893597,0.09630114128570623,0.2536889905222936,0.5577773664377177,,,,,,
A6,nn,lissajous,8.899863008405067,0.04193488562066846,0.06377462588159538,0.12046994594450583,0.2232979109740734,0.08567883171625376,0.2525178779276677,0.5264622438188129,0.9961685823754789,0.9938986560935229,2.0,0.1,0.0,0.11660644958098691
A6,oracle,lissajous,8.899863008405067,0.04193488562066846,0.059428413355843215,0.09405097316498341,0.19364152411267943,0.02810073688233432,0.23066032794593266,0.35250346190296417,1.0,1.0,0.0,0.0,1.0,0.02976023955891457
A7,none,lissajous,6.452090304204987,0.05350040960899253,0.059744575595332666,0.10125494234035458,0.18840181954010335,0.08872299858278793,0.23559643571868283,0.35631335093242283,,,,,,
A7,nn,lissajous,6.452090304204987,0.05350040960899253,0.058964763262345336,0.09957748345570122,0.1872481710394057,0.09239647486503832,0.23606058399152596,0.3533124768372497,0.9842105263157894,0.9971650031852106,9.0,0.45,0.0,0.09705406387224336
A7,oracle,lissajous,6.452090304204987,0.05350040960899253,0.05765692913961255,0.09405097316498341,0.18790579979998323,0.02824752670493622,0.23199783345343827,0.3382631468292069,1.0,1.0,0.0,0.0,1.0,0.029950775127394857
A8,none,lissajous,26.654403644373378,0.05273137919063152,0.06566410662812389,0.11987851622827679,0.2607261956342235,0.07781922904141322,0.2577375319413375,0.54882839088503,,,,,,
A8,nn,lissajous,26.654403644373378,0.05273137919063152,0.06563897917457286,0.1173497943800146,0.2387716974999759,0.07516281804273398,0.250019690154558,0.5121404769851845,0.9819277108433735,0.9918724402590362,3.0,0.15000000000000002,0.0,0.09095077984286001
A8,oracle,lissajous,26.654403644373378,0.05273137919063152,0.06828150328653804,0.09364344353349205,0.22096551362930864,0.027926548649712637,0.2272739281927945,0.41754884201943476,1.0,1.0,0.0,0.0,1.0,0.02959508267714454
